scan_date,代碼,股票名稱,entry_price,訊號類型,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,K值,D值,週K值,週D值,MACD柱,趨勢突破,量能倍數,status
2026-07-28,1476.TW,儒鴻,339.0,週黃金交叉,76,A強勢追蹤,1.44,>MA5,多頭,55.1,52.9,45.8,43.6,0.6822,-,-,tracking
2026-07-28,1519.TW,華城,727.0,週即將黃金交叉,64,C觀察,0.46,>MA5,糾結,69.8,50.9,15.6,18.1,4.2467,-,-,tracking
2026-07-28,2002.TW,中鋼,19.0,週黃金交叉,75,A強勢追蹤,0.43,MA5~10,多頭,66.0,64.6,33.2,30.5,0.0636,-,-,tracking
2026-07-28,2023.TW,燁輝,13.85,黃金交叉,66,B可追蹤,0.68,MA5~10,多頭,37.4,34.7,42.3,39.7,0.0022,-,-,tracking
2026-07-28,2072.TW,世紀風電,152.5,跳空、週即將黃金交叉,61,C觀察,1.7,>MA5,糾結,57.1,41.3,13.0,14.7,1.5146,-,-,tracking
2026-07-28,2106.TW,建大,18.4,黃金交叉,73,B可追蹤,2.31,>MA5,糾結,54.7,49.6,64.6,53.9,0.0445,-,-,tracking
2026-07-28,2332.TW,友訊,23.6,週即將黃金交叉,73,B可追蹤,6.79,>MA5,多頭,60.0,53.2,72.1,74.4,-0.0771,-,-,tracking
2026-07-28,2412.TW,中華電,141.0,週黃金交叉,60,C觀察,0.27,>MA5,多頭,89.0,75.5,48.8,48.0,0.5658,-,-,tracking
2026-07-28,2610.TW,華航,21.75,跳空、趨勢突破,80,A強勢追蹤,-1.3,>MA5,糾結,52.4,43.0,50.1,60.5,-0.0675,趨勢突破,3.12,tracking
2026-07-28,3022.TW,威強電,91.7,週即將黃金交叉,74,B可追蹤,6.02,>MA5,糾結,74.3,59.9,78.5,78.7,0.3932,-,-,tracking
2026-07-28,3231.TW,緯創,170.0,週黃金交叉,66,B可追蹤,4.42,MA5~10,多頭,75.8,69.0,43.5,43.5,3.4463,-,-,tracking
2026-07-28,4904.TW,遠傳,106.0,週黃金交叉,68,B可追蹤,1.1,>MA5,多頭,83.7,75.2,58.0,56.4,0.8479,-,-,tracking
2026-07-28,5521.TW,工信,10.3,MACD翻正、趨勢突破,96,A強勢追蹤,0.74,>MA5,糾結,49.2,38.6,28.9,25.8,0.0026,趨勢突破,0.72,tracking
2026-07-28,5876.TW,上海商銀,46.53,跳空、黃金交叉,81,A強勢追蹤,2.57,>MA5,多頭,81.7,78.2,91.3,84.1,0.1955,-,-,tracking
2026-07-28,8271.TW,宇瞻,218.0,週黃金交叉,84,A強勢追蹤,6.43,>MA5,多頭,80.8,70.1,38.7,35.4,4.9588,-,-,tracking
2026-07-28,9907.TW,統一實,15.2,黃金交叉、週即將黃金交叉、趨勢突破,83,A強勢追蹤,-0.12,>MA5,空頭,51.4,48.9,14.3,15.2,0.0413,趨勢突破,1.11,tracking
2026-07-28,3363.TWO,上詮,598.0,週黃金交叉,86,A強勢追蹤,5.48,>MA5,糾結,65.5,54.8,22.0,21.0,10.3492,-,-,tracking
2026-07-28,3441.TWO,聯一光,77.2,漲幅達標、MACD翻正,62,C觀察,4.11,>MA5,糾結,63.1,39.7,55.4,63.9,0.0032,-,-,tracking
2026-07-28,4979.TWO,華星光,427.0,週即將黃金交叉,58,C觀察,2.45,>MA5,糾結,67.6,52.7,20.7,21.7,9.7167,-,-,tracking
