scan_date,代碼,股票名稱,entry_price,訊號類型,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,K值,D值,週K值,週D值,MACD柱,趨勢突破,量能倍數,status,days_tracked,return_3d%,return_5d%,return_10d%,max_gain_5d%,max_drawdown_5d%,max_gain_10d%,max_drawdown_10d%,is_success_5d
2026-07-29,1104.TW,環泥,26.85,趨勢突破,86,A強勢追蹤,0.34,>MA5,糾結,44.1,34.3,17.6,24.4,0.044,趨勢突破,2.02,tracking,1.0,,,,1.49,-0.93,1.49,-0.93,0.0
2026-07-29,1218.TW,泰山,16.0,跳空、黃金交叉、MACD翻正、趨勢突破,66,B可追蹤,-2.15,>MA5,空頭,23.0,21.8,9.5,12.8,0.007,趨勢突破,1.51,tracking,2.0,,,,1.87,-0.94,1.87,-0.94,0.0
2026-07-29,1476.TW,儒鴻,338.5,週黃金交叉,66,B可追蹤,1.79,>MA5,糾結,54.7,53.5,45.5,43.5,0.5498,-,-,tracking,2.0,,,,5.61,-1.18,5.61,-1.18,0.0
2026-07-29,1526.TW,日馳,18.9,漲幅達標、黃金交叉,84,A強勢追蹤,9.32,>MA5,多頭,71.8,66.7,63.3,44.6,0.3042,-,-,tracking,2.0,,,,9.52,-4.76,9.52,-4.76,0.0
2026-07-29,1598.TW,岱宇,20.75,跳空、即將黃金交叉、週黃金交叉、趨勢突破,100,A強勢追蹤,2.82,>MA5,糾結,57.8,58.3,40.9,33.4,0.1127,趨勢突破,25.58,tracking,2.0,,,,1.69,-4.58,1.69,-4.58,0.0
2026-07-29,1907.TW,永豐餘,28.45,黃金交叉,69,B可追蹤,1.27,>MA5,多頭,43.1,39.7,74.9,70.5,-0.0625,-,-,tracking,2.0,,,,4.22,-0.53,4.22,-0.53,0.0
2026-07-29,2002.TW,中鋼,18.95,週黃金交叉,63,C觀察,0.43,MA5~10,多頭,59.8,63.0,32.2,30.1,0.0504,-,-,tracking,2.0,,,,1.58,-0.79,1.58,-0.79,0.0
2026-07-29,2025.TW,千興,12.45,趨勢突破,87,A強勢追蹤,0.54,>MA5,糾結,65.3,49.0,25.0,34.3,0.0617,趨勢突破,2.86,tracking,2.0,,,,2.81,-5.22,2.81,-5.22,0.0
2026-07-29,2027.TW,大成鋼,43.25,週黃金交叉,68,B可追蹤,0.64,MA5~10,多頭,63.7,69.2,59.7,56.7,0.2992,-,-,tracking,2.0,,,,2.31,-1.62,2.31,-1.62,0.0
2026-07-29,2332.TW,友訊,24.0,週即將黃金交叉,78,A強勢追蹤,7.0,>MA5,多頭,66.4,57.6,73.2,74.8,-0.0541,-,-,tracking,2.0,,,,-0.42,-13.96,-0.42,-13.96,0.0
2026-07-29,2357.TW,華碩,761.0,即將黃金交叉,65,B可追蹤,3.12,>MA5,多頭,74.4,75.6,36.5,41.9,7.5305,-,-,tracking,2.0,,,,6.44,-5.12,6.44,-5.12,0.0
2026-07-29,2412.TW,中華電,140.5,週黃金交叉,68,B可追蹤,0.19,>MA5,多頭,82.4,77.8,47.7,47.7,0.5796,-,-,tracking,2.0,,,,0.36,-1.42,0.36,-1.42,0.0
2026-07-29,2530.TW,華建,20.65,趨勢突破,100,A強勢追蹤,1.9,>MA5,多頭,70.6,64.6,64.9,50.1,0.1208,趨勢突破,2.88,tracking,2.0,,,,4.12,-3.63,4.12,-3.63,0.0
2026-07-29,2540.TW,愛山林,57.8,週黃金交叉,92,A強勢追蹤,2.99,>MA5,多頭,69.3,58.9,55.3,45.7,0.3661,-,-,tracking,2.0,,,,6.92,-0.69,6.92,-0.69,0.0
2026-07-29,2615.TW,萬海,85.0,即將黃金交叉,58,C觀察,1.65,>MA5,多頭,63.1,64.7,67.0,61.8,0.4421,-,-,tracking,2.0,,,,2.35,-1.29,2.35,-1.29,0.0
2026-07-29,2849.TW,安泰銀,15.35,黃金交叉、週黃金交叉、MACD翻正,100,A強勢追蹤,2.42,>MA5,糾結,68.3,60.3,87.6,86.6,0.0163,-,-,tracking,2.0,,,,0.65,-1.3,0.65,-1.3,0.0
2026-07-29,2867.TW,三商壽,9.37,即將黃金交叉,60,C觀察,2.82,>MA5,多頭,64.0,66.9,84.2,78.0,0.0121,-,-,tracking,2.0,,,,7.26,-0.75,7.26,-0.75,0.0
2026-07-29,2880.TW,華南金,41.8,即將黃金交叉,60,C觀察,2.98,>MA5,多頭,83.7,85.8,89.9,80.3,0.069,-,-,tracking,2.0,,,,8.01,-1.56,8.01,-1.56,0.0
2026-07-29,2884.TW,玉山金,36.5,黃金交叉,82,A強勢追蹤,2.38,>MA5,多頭,69.6,68.9,77.5,68.6,0.0868,-,-,tracking,2.0,,,,7.12,-0.41,7.12,-0.41,0.0
2026-07-29,2903.TW,遠百,22.35,趨勢突破,89,A強勢追蹤,0.73,>MA5,糾結,63.7,61.5,29.9,35.7,0.0306,趨勢突破,1.82,tracking,2.0,,,,1.57,-0.89,1.57,-0.89,0.0
2026-07-29,2912.TW,統一超,241.0,黃金交叉,59,C觀察,1.7,>MA5,糾結,47.6,46.5,72.8,64.9,-0.7201,-,-,tracking,2.0,,,,-2.49,-7.47,-2.49,-7.47,0.0
2026-07-29,3231.TW,緯創,169.5,週即將黃金交叉,71,B可追蹤,2.12,MA5~10,多頭,73.1,70.4,43.3,43.4,2.9951,-,-,tracking,2.0,,,,3.83,-7.08,3.83,-7.08,0.0
2026-07-29,4904.TW,遠傳,106.5,週黃金交叉,68,B可追蹤,1.43,>MA5,多頭,80.2,76.9,58.8,56.7,0.8373,-,-,tracking,2.0,,,,0.0,-2.35,0.0,-2.35,0.0
2026-07-29,4976.TW,佳凌,37.7,漲幅達標、MACD翻正、趨勢突破,100,A強勢追蹤,4.62,>MA5,糾結,56.5,32.2,39.9,48.6,0.031,趨勢突破,3.94,tracking,2.0,,,,8.75,-9.95,8.75,-9.95,0.0
2026-07-29,5531.TW,鄉林,7.9,週即將黃金交叉、MACD翻正、趨勢突破,100,A強勢追蹤,0.47,>MA5,空頭,49.8,39.9,24.1,26.5,0.0029,趨勢突破,2.97,tracking,2.0,,,,1.01,-1.9,1.01,-1.9,0.0
2026-07-29,8114.TW,振樺電,209.5,週即將黃金交叉,55,C觀察,2.17,MA5~10,多頭,54.1,57.0,34.0,34.3,2.3451,-,-,tracking,2.0,,,,-2.39,-9.79,-2.39,-9.79,0.0
2026-07-29,8271.TW,宇瞻,222.5,漲幅達標、週黃金交叉、趨勢突破,100,A強勢追蹤,7.11,>MA5,多頭,81.0,74.7,40.2,35.9,4.8673,趨勢突破,2.69,tracking,2.0,,,,2.92,-9.89,2.92,-9.89,0.0
