scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status,days_tracked,return_3d%,return_5d%,return_10d%,max_gain_5d%,max_drawdown_5d%,max_gain_10d%,max_drawdown_10d%,is_success_5d
2026-08-06,1476.TW,儒鴻,355.0,周1K,買,58,C觀察,1.84,>MA5,多頭,1462.0,tracking,1.0,,,,2.25,-3.8,2.25,-3.8,0.0
2026-08-06,1590.TW,亞德客-KY,1510.0,周1K,買,61,C觀察,4.85,>MA5,多頭,1270.1,tracking,1.0,,,,5.3,0.66,5.3,0.66,0.0
2026-08-06,1605.TW,華新,34.85,單跳空、周1K,買,72,B可追蹤,4.13,>MA5,糾結,38467.6,tracking,1.0,,,,0.43,-2.44,0.43,-2.44,0.0
2026-08-06,1608.TW,華榮,33.4,三白兵、單跳空,買,68,B可追蹤,4.19,>MA5,糾結,22414.6,tracking,1.0,,,,7.19,3.29,7.19,3.29,0.0
2026-08-06,1617.TW,榮星,18.55,單跳空、島狀反轉、周1K,買,56,C觀察,-2.09,>MA5,空頭,4157.0,tracking,1.0,,,,2.43,-1.89,2.43,-1.89,0.0
2026-08-06,1717.TW,長興,66.5,單跳空、廣義上升三法,買,72,B可追蹤,2.11,>MA5,糾結,10614.9,tracking,1.0,,,,1.5,-0.75,1.5,-0.75,0.0
2026-08-06,1809.TW,中釉,39.35,三白兵、單跳空、島狀反轉、周1K,買,83,A強勢追蹤,1.57,>MA5,空頭,5375.5,tracking,1.0,,,,-1.27,-5.46,-1.27,-5.46,0.0
2026-08-06,1907.TW,永豐餘,29.75,廣義上升三法,買,58,C觀察,1.92,>MA5,多頭,1504.1,tracking,1.0,,,,4.71,2.35,4.71,2.35,0.0
2026-08-06,2027.TW,大成鋼,44.35,廣義上升三法、KD高腳,買,87,A強勢追蹤,2.17,>MA5,多頭,14191.5,tracking,1.0,,,,5.64,3.49,5.64,3.49,0.0
2026-08-06,2034.TW,允強,18.95,單跳空、廣義上升三法、島狀反轉,買,56,C觀察,-1.1,>MA5,空頭,1499.6,tracking,1.0,,,,7.92,0.79,7.92,0.79,0.0
