scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status
2026-08-16,1303.TW,南亞,207.5,廣義上升三法、漲停、漲幅達標、下降趨勢線突破、周1K,買,100,A強勢追蹤,3.53,>MA5,多頭,156580.7,tracking
2026-08-16,1319.TW,東陽,83.9,3K反轉、Buy01、單跳空、周1K,買,100,A強勢追蹤,4.64,>MA5,多頭,11869.7,tracking
2026-08-16,1409.TW,新纖,25.25,廣義上升三法、Buy01,買,65,B可追蹤,3.57,>MA5,多頭,20056.3,tracking
2026-08-16,1416.TW,廣豐,11.9,周1K,買,60,C觀察,3.1,>MA5,多頭,1385.0,tracking
2026-08-16,1440.TW,南紡,13.55,廣義上升三法、周1K,買,70,B可追蹤,2.42,MA5~10,多頭,1839.6,tracking
2026-08-16,1466.TW,聚隆,17.05,3K反轉、周1K,買,55,C觀察,1.07,>MA5,糾結,1543.1,tracking
2026-08-16,1513.TW,中興電,170.0,周1K,買,64,C觀察,3.06,>MA5,多頭,4155.5,tracking
2026-08-16,1515.TW,力山,33.55,3K反轉、漲停、漲幅達標,買,63,C觀察,-1.2,>MA5,糾結,2850.1,tracking
2026-08-16,1560.TW,中砂,725.0,周1K,買,56,C觀察,4.03,>MA5,多頭,1883.6,tracking
2026-08-16,1605.TW,華新,39.05,周1K,買,68,B可追蹤,6.48,>MA5,多頭,41914.9,tracking
2026-08-16,1608.TW,華榮,37.0,廣義上升三法、巧妙點,買,80,A強勢追蹤,4.33,>MA5,多頭,4753.6,tracking
2026-08-16,1609.TW,大亞,38.15,Buy01、周1K,買,57,C觀察,1.48,>MA5,多頭,4202.8,tracking
2026-08-16,1618.TW,合機,41.7,3K反轉、Buy01、周1K,買,88,A強勢追蹤,3.97,>MA5,多頭,2672.4,tracking
2026-08-16,1709.TW,和益,30.35,廣義上升三法,買,73,B可追蹤,5.49,>MA5,多頭,13482.4,tracking
2026-08-16,1718.TW,中纖,10.95,廣義上升三法、巧妙點、周1K,買,66,B可追蹤,-1.11,>MA5,糾結,25099.8,tracking
2026-08-16,1810.TW,和成,27.55,Buy01、漲停、漲幅達標,買,73,B可追蹤,3.09,>MA5,糾結,24344.4,tracking
2026-08-16,1909.TW,榮成,10.6,Buy01、周1K,買,57,C觀察,1.51,>MA5,多頭,6391.0,tracking
2026-08-16,2033.TW,佳大,22.6,廣義上升三法、KD高腳、漲停、漲幅達標、三白兵、周1K,買,100,A強勢追蹤,16.36,>MA5,多頭,2223.4,tracking
2026-08-16,2208.TW,台船,20.3,3K反轉、周1K,買,70,B可追蹤,2.01,>MA5,糾結,19145.3,tracking
2026-08-16,2312.TW,金寶,33.75,廣義上升三法、周1K,買,75,A強勢追蹤,3.19,>MA5,多頭,20301.2,tracking
2026-08-16,2323.TW,中環,11.3,3K反轉、廣義上升三法、Buy01、漲停、漲幅達標、單跳空、周1K,買,100,A強勢追蹤,4.12,>MA5,多頭,15103.3,tracking
2026-08-16,2324.TW,仁寶,43.2,漲停、漲幅達標、周1K,買,100,A強勢追蹤,7.6,>MA5,多頭,402245.1,tracking
2026-08-16,2331.TW,精英,20.7,KD高腳、漲幅達標、下降趨勢線突破,買,90,A強勢追蹤,2.3,>MA5,多頭,13160.8,tracking
2026-08-16,2342.TW,茂矽,40.7,廣義上升三法、周1K,買,75,A強勢追蹤,2.33,>MA5,多頭,3262.0,tracking
2026-08-16,2344.TW,華邦電,183.5,廣義上升三法、周1K,買,83,A強勢追蹤,6.81,>MA5,多頭,241145.7,tracking
2026-08-16,2349.TW,錸德,11.6,廣義上升三法、單跳空,買,69,B可追蹤,1.87,>MA5,多頭,5664.7,tracking
2026-08-16,2352.TW,佳世達,29.5,廣義上升三法、下降趨勢線突破,買,58,C觀察,0.33,>MA5,多頭,16130.2,tracking
2026-08-16,2353.TW,宏碁,32.3,廣義上升三法、周1K,買,79,A強勢追蹤,3.19,>MA5,多頭,59635.0,tracking
2026-08-16,2356.TW,英業達,69.9,周1K,買,68,B可追蹤,5.61,>MA5,多頭,59267.5,tracking
2026-08-16,2357.TW,華碩,996.0,雙跳空、單跳空、周1K,買,94,A強勢追蹤,11.98,>MA5,多頭,16239.9,tracking
2026-08-16,2360.TW,致茂,2300.0,周1K,買,56,C觀察,7.33,>MA5,多頭,1729.9,tracking
2026-08-16,2362.TW,藍天,49.9,3K反轉、KD高腳,買,84,A強勢追蹤,4.46,>MA5,多頭,4128.6,tracking
2026-08-16,2376.TW,技嘉,397.5,廣義上升三法、周1K,買,83,A強勢追蹤,7.47,>MA5,多頭,14334.5,tracking
2026-08-16,2382.TW,廣達,327.5,廣義上升三法、周1K,買,65,B可追蹤,2.33,>MA5,糾結,44245.0,tracking
2026-08-16,2383.TW,台光電,6165.0,廣義上升三法、漲幅達標、周1K,買,97,A強勢追蹤,10.26,>MA5,多頭,2986.9,tracking
2026-08-16,2385.TW,群光,107.5,廣義上升三法,買,59,C觀察,2.2,>MA5,糾結,3094.3,tracking
2026-08-16,2392.TW,正崴,43.05,廣義上升三法、漲停、漲幅達標、單跳空、下降趨勢線突破、周1K,買,100,A強勢追蹤,7.51,>MA5,多頭,16947.4,tracking
2026-08-16,2395.TW,研華,683.0,周1K,買,68,B可追蹤,7.65,>MA5,多頭,3683.4,tracking
2026-08-16,2399.TW,映泰,45.95,3K反轉、廣義上升三法、周1K,買,100,A強勢追蹤,6.68,>MA5,多頭,11445.4,tracking
2026-08-16,2408.TW,南亞科,512.0,周1K,買,68,B可追蹤,8.43,>MA5,多頭,104565.3,tracking
2026-08-16,2420.TW,新巨,58.6,廣義上升三法、單跳空、周1K,買,87,A強勢追蹤,1.58,>MA5,多頭,1104.5,tracking
2026-08-16,2428.TW,興勤,255.0,雙跳空、周1K,買,63,C觀察,2.37,>MA5,多頭,1739.2,tracking
2026-08-16,2464.TW,盟立,192.0,周1K,買,68,B可追蹤,8.92,>MA5,多頭,10004.5,tracking
2026-08-16,2474.TW,可成,204.5,廣義上升三法、Buy01,買,65,B可追蹤,3.75,>MA5,多頭,2377.3,tracking
2026-08-16,2492.TW,華新科,302.5,周1K,買,60,C觀察,4.97,>MA5,多頭,49331.6,tracking
2026-08-16,2536.TW,宏普,20.8,周1K,買,59,C觀察,2.92,MA5~10,多頭,3293.7,tracking
2026-08-16,2542.TW,興富發,46.2,周1K,買,64,C觀察,2.18,>MA5,多頭,9265.4,tracking
2026-08-16,2603.TW,長榮,219.0,3K反轉、廣義上升三法、Buy01、下降趨勢線突破、周1K,買,100,A強勢追蹤,3.17,>MA5,多頭,13449.5,tracking
2026-08-16,2611.TW,志信,14.95,廣義上升三法、布林縮窄突破、周1K,買,100,A強勢追蹤,2.85,>MA5,多頭,1765.4,tracking
2026-08-16,2615.TW,萬海,90.6,3K反轉、廣義上升三法、布林縮窄突破、Buy01、周1K,買,100,A強勢追蹤,4.09,>MA5,多頭,27863.4,tracking
2026-08-16,2630.TW,亞航,53.1,3K反轉、漲停、漲幅達標、周1K,買,100,A強勢追蹤,2.13,>MA5,糾結,5282.2,tracking
2026-08-16,2634.TW,漢翔,70.6,漲停、漲幅達標、周1K,買,91,A強勢追蹤,6.01,>MA5,糾結,79395.3,tracking
2026-08-16,2645.TW,長榮航太,200.0,3K反轉、KD高腳、漲停、漲幅達標、下降趨勢線突破,買,76,A強勢追蹤,-0.68,>MA5,空頭,13325.0,tracking
2026-08-16,2851.TW,中再保,38.75,廣義上升三法、布林縮窄突破、Buy01、周1K,買,100,A強勢追蹤,3.43,>MA5,多頭,3352.3,tracking
2026-08-16,2855.TW,統一證,47.4,周1K,買,64,C觀察,2.78,>MA5,多頭,3288.2,tracking
2026-08-16,2867.TW,三商壽,9.75,Buy01、KD高腳、下降趨勢線突破,買,67,B可追蹤,1.58,>MA5,糾結,11841.8,tracking
2026-08-16,2881.TW,富邦金,129.5,3K反轉、廣義上升三法、Buy01,買,90,A強勢追蹤,1.2,>MA5,多頭,8926.2,tracking
2026-08-16,2882.TW,國泰金,101.5,3K反轉、廣義上升三法、Buy01、KD高腳、下降趨勢線突破,買,100,A強勢追蹤,1.93,>MA5,多頭,19229.4,tracking
2026-08-16,2883.TW,凱基金,31.65,廣義上升三法、Buy01,買,62,C觀察,1.6,>MA5,多頭,58718.6,tracking
2026-08-16,2887.TW,台新新光金,37.75,廣義上升三法、布林縮窄突破、單跳空、周1K,買,100,A強勢追蹤,2.78,>MA5,多頭,100876.2,tracking
2026-08-16,2905.TW,三商,17.1,3K反轉、Buy01、KD高腳、下降趨勢線突破,買,100,A強勢追蹤,3.32,>MA5,多頭,2937.4,tracking
2026-08-16,2915.TW,潤泰全,59.5,廣義上升三法、布林縮窄突破、漲停、漲幅達標、單跳空、周1K,買,100,A強勢追蹤,6.25,>MA5,多頭,14058.8,tracking
2026-08-16,3005.TW,神基,116.5,廣義上升三法、Buy01、KD高腳,買,92,A強勢追蹤,1.42,>MA5,多頭,4165.5,tracking
2026-08-16,3017.TW,奇鋐,3235.0,周1K,買,68,B可追蹤,11.6,>MA5,多頭,7354.7,tracking
2026-08-16,3037.TW,欣興,1020.0,巧妙點、周1K,買,79,A強勢追蹤,6.89,>MA5,多頭,9634.9,tracking
2026-08-16,3044.TW,健鼎,488.0,周1K,買,68,B可追蹤,9.45,>MA5,多頭,5439.6,tracking
2026-08-16,3094.TW,聯傑,37.75,周1K,買,60,C觀察,2.2,>MA5,多頭,4081.4,tracking
2026-08-16,3189.TW,景碩,862.0,廣義上升三法、周1K,買,83,A強勢追蹤,6.2,>MA5,多頭,4293.9,tracking
2026-08-16,3229.TW,晟鈦,53.8,廣義上升三法、巧妙點、周1K,買,94,A強勢追蹤,8.97,>MA5,多頭,1018.6,tracking
2026-08-16,3312.TW,弘憶股,55.1,周1K,買,68,B可追蹤,6.0,>MA5,多頭,7013.6,tracking
2026-08-16,3356.TW,奇偶,65.5,廣義上升三法、布林縮窄突破、雙跳空、周1K,買,100,A強勢追蹤,6.84,>MA5,多頭,3515.8,tracking
2026-08-16,3406.TW,玉晶光,615.0,周1K,買,68,B可追蹤,6.27,>MA5,多頭,4503.6,tracking
2026-08-16,3443.TW,創意,5465.0,周1K,買,64,C觀察,11.91,>MA5,多頭,2676.0,tracking
2026-08-16,3450.TW,聯鈞,510.0,巧妙點,買,65,B可追蹤,5.6,>MA5,多頭,1409.7,tracking
2026-08-16,3543.TW,州巧,40.1,廣義上升三法、巧妙點、周1K,買,100,A強勢追蹤,9.37,>MA5,多頭,1250.5,tracking
2026-08-16,3605.TW,宏致,131.5,周1K,買,68,B可追蹤,16.46,>MA5,多頭,18819.5,tracking
2026-08-16,3617.TW,碩天,250.0,單跳空,買,65,B可追蹤,5.75,>MA5,多頭,3455.7,tracking
2026-08-16,3652.TW,精聯,37.5,廣義上升三法、巧妙點,買,80,A強勢追蹤,7.81,>MA5,多頭,1310.8,tracking
2026-08-16,4306.TW,炎洲,15.5,3K反轉、廣義上升三法、布林縮窄突破、Buy01、島狀反轉、單跳空、周1K,買,100,A強勢追蹤,2.5,>MA5,多頭,5019.5,tracking
2026-08-16,4564.TW,元翎,18.15,3K反轉、廣義上升三法、漲幅達標、周1K,買,98,A強勢追蹤,1.67,>MA5,糾結,4969.3,tracking
2026-08-16,4739.TW,康普,89.2,廣義上升三法,買,61,C觀察,2.57,>MA5,多頭,2301.2,tracking
2026-08-16,4916.TW,事欣科,106.0,3K反轉、廣義上升三法,買,74,B可追蹤,0.64,>MA5,多頭,7652.2,tracking
2026-08-16,4976.TW,佳凌,37.8,KD高腳,買,58,C觀察,4.0,>MA5,糾結,5848.0,tracking
2026-08-16,5471.TW,松翰,58.5,廣義上升三法、Buy01、周1K,買,87,A強勢追蹤,2.39,>MA5,多頭,6890.3,tracking
2026-08-16,5515.TW,建國,48.45,周1K,買,68,B可追蹤,5.61,>MA5,多頭,1434.7,tracking
2026-08-16,5521.TW,工信,10.7,周1K,買,60,C觀察,2.42,>MA5,多頭,1717.6,tracking
2026-08-16,6108.TW,競國,22.1,廣義上升三法、周1K,買,87,A強勢追蹤,9.66,>MA5,多頭,3290.2,tracking
2026-08-16,6155.TW,鈞寶,63.7,周1K,買,68,B可追蹤,5.51,>MA5,多頭,14033.7,tracking
2026-08-16,6213.TW,聯茂,480.0,廣義上升三法、周1K,買,75,A強勢追蹤,15.34,>MA5,多頭,3959.7,tracking
2026-08-16,6214.TW,精誠,172.0,雙跳空、雙漲停、漲停、漲幅達標、單跳空、周1K,買,100,A強勢追蹤,8.43,>MA5,多頭,1870.2,tracking
2026-08-16,6269.TW,台郡,65.7,廣義上升三法、Buy01,買,60,C觀察,3.98,MA5~10,多頭,3525.2,tracking
2026-08-16,6415.TW,矽力*-KY,480.0,周1K,買,60,C觀察,4.03,>MA5,多頭,7718.6,tracking
2026-08-16,6442.TW,光聖,1560.0,廣義上升三法,買,61,C觀察,7.86,>MA5,多頭,2590.1,tracking
2026-08-16,6446.TW,藥華藥,1500.0,廣義上升三法、周1K,買,83,A強勢追蹤,9.46,>MA5,多頭,4016.2,tracking
2026-08-16,6477.TW,安集,38.25,3K反轉、Buy01、漲停、漲幅達標、周1K,買,90,A強勢追蹤,2.78,>MA5,空頭,4939.0,tracking
2026-08-16,6672.TW,騰輝電子-KY,270.0,廣義上升三法,買,73,B可追蹤,6.56,>MA5,多頭,6294.5,tracking
2026-08-16,6753.TW,龍德造船,158.0,漲停、漲幅達標、周1K,買,100,A強勢追蹤,6.28,>MA5,多頭,8145.1,tracking
2026-08-16,6770.TW,力積電,78.4,廣義上升三法、周1K,買,83,A強勢追蹤,7.49,>MA5,多頭,527933.5,tracking
2026-08-16,7788.TW,松川精密,268.0,周1K,買,64,C觀察,6.35,>MA5,多頭,1801.8,tracking
2026-08-16,7795.TW,長廣,536.0,雙跳空、周1K,買,63,C觀察,7.83,>MA5,多頭,2980.1,tracking
2026-08-16,8033.TW,雷虎,201.5,漲停、漲幅達標、三白兵、周1K,買,89,A強勢追蹤,0.72,>MA5,多頭,16897.7,tracking
2026-08-16,8039.TW,台虹,272.5,漲幅達標、三白兵、下降趨勢線突破,買,73,B可追蹤,12.67,>MA5,多頭,55936.9,tracking
2026-08-16,8046.TW,南電,1305.0,廣義上升三法、漲幅達標、周1K,買,93,A強勢追蹤,7.69,>MA5,多頭,23319.3,tracking
2026-08-16,8070.TW,長華*,49.65,廣義上升三法,買,58,C觀察,1.66,>MA5,多頭,4469.7,tracking
2026-08-16,8222.TW,寶一,41.3,3K反轉、廣義上升三法、周1K,買,100,A強勢追蹤,4.2,>MA5,多頭,4901.9,tracking
2026-08-16,8996.TW,高力,1280.0,周1K,買,60,C觀察,10.26,>MA5,多頭,6188.9,tracking
2026-08-16,9904.TW,寶成,25.25,3K反轉、廣義上升三法、布林縮窄突破、單跳空、下降趨勢線突破,買,100,A強勢追蹤,1.69,>MA5,糾結,55096.7,tracking
2026-08-16,9933.TW,中鼎,42.9,廣義上升三法、周1K,買,79,A強勢追蹤,4.94,>MA5,多頭,4408.0,tracking
2026-08-16,9945.TW,潤泰新,29.8,廣義上升三法、布林縮窄突破、漲停、漲幅達標、單跳空、周1K,買,100,A強勢追蹤,4.95,>MA5,多頭,37276.6,tracking
2026-08-16,9105.TW,泰金寶-DR,8.61,廣義上升三法、KD高腳、周1K,買,98,A強勢追蹤,1.89,>MA5,多頭,33834.3,tracking
2026-08-16,1336.TWO,台翰,17.65,廣義上升三法、漲停、漲幅達標、下降趨勢線突破、周1K,買,100,A強勢追蹤,8.52,>MA5,多頭,3475.0,tracking
2026-08-16,1586.TWO,和勤,19.2,布林縮窄突破,買,64,C觀察,2.43,>MA5,多頭,1129.0,tracking
2026-08-16,3211.TWO,順達,391.0,周1K,買,55,C觀察,4.5,MA5~10,多頭,6725.0,tracking
